Disclaimer,,,,,,,,,,,,,,,,,,
"""GWDB DISCLAIMER:  Except where noted, all of the information provided in the Texas Water Development Board (TWDB) Groundwater Database (https://www.twdb.texas.gov/groundwater/data/gwdbrpt.asp) is believed to be accurate and reliable; however, the TWDB assumes no responsibility for any errors appearing in rules or otherwise. Further, TWDB assumes no responsibility for the use of the information provided. PLEASE NOTE that users of these data are responsible for checking the accuracy, completeness, currency and/or suitability of all information themselves. TWDB makes no guarantees or warranties as to the accuracy, completeness, currency, or suitability of the information provided via the Groundwater Database (GWDB). TWDB specifically disclaims any and all liability for any claims or damages that may result from providing GWDB data or the information it contains. For additional information or answers to questions concerning the TWDB GWDB, contact the Groundwater Data Team at GroundwaterData@twdb.texas.gov.""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
StateWellNumber,LatitudeDD,LongitudeDD,County,AquiferCode,Owner,WellTypeCode,DrillingEndDate,WellDepth,CasingId,Diameter,TopDepth,BottomDepth,LandSurfaceElevation,WaterLevelsAvailable,WaterQualityAvailable,Pump,WellUse,Remarks
6822701,29.6519444,-98.3741667,Bexar,218EDRDA,Tommy Smith,W,,435,,,,,1008,Yes,No,None,Plugged or Destroyed,Plugging Report Tracking Number: 36623. 
6822702,29.625278,-98.349167,Bexar,218EBFZA,Don H. Classen,W,,510,,,,,867,Yes,Yes,Piston,Domestic,Well F-20 in Texas Board of Water Engineers Bulletin 5608. Historical observation well.
6826602,29.582222,-98.761389,Bexar,218EBFZA,Culebra Creek Spring,S,,,,,,,1214,No,No,,,USGS Site Number: 293506098454101. 
6826803,29.528333,-98.799722,Bexar,218EBFZA,BMWD-Geronimo Forest Water System,W,1/20/1971,1140,,,,,1045,Yes,Yes,Submersible,Public Supply,TCEQ Source ID: G0150052A. Owners well #1 Geronimo. Top of Edwards 855 ft.
6826804,29.524444,-98.798056,Bexar,218EBFZA,Cecil Sanders ,W,,1000,,,,,1044,Yes,No,Piston,Domestic,Well D-1 in Texas Board of Water Engineers Bulletin 5608. Historical observation well.
6826805,29.520833,-98.798611,Bexar,218EDRDA,T. C. Livingston,W,3/20/1972,1012,,,,,1045,Yes,No,,Domestic,"Open hole from 866 to 1,012 ft. Cemented from 866 ft. to surface. Top of Edwards 866 ft."
6826806,29.515278,-98.794445,Bexar,218EDRDA,Charles Haner ,W,8/14/1981,1041,10,8,0,825,1041,No,No,Turbine,Irrigation,
6826806,29.515278,-98.794445,Bexar,218EDRDA,Charles Haner ,W,8/14/1981,1041,101,,825,1041,1041,No,No,Turbine,Irrigation,
6826814,29.5246694,-98.7923861,Bexar,218EDRDA,San Antonio Water  System (Culebra #1),W,7/11/2000,1400,10,9,0,900,1040,Yes,No,,Public Supply,Owners well Culebra #1. Cemented from 0 900 feet. Measured yield 370 GPM with 16 feet drawdown after pumping 36 hours. Specific capacity 23.13 GPM/ft. Pumping level 307 feet.
6826814,29.5246694,-98.7923861,Bexar,218EDRDA,San Antonio Water  System (Culebra #1),W,7/11/2000,1400,101,15,900,1400,1040,Yes,No,,Public Supply,Owners well Culebra #1. Cemented from 0 900 feet. Measured yield 370 GPM with 16 feet drawdown after pumping 36 hours. Specific capacity 23.13 GPM/ft. Pumping level 307 feet.
6826815,29.523333,-98.799722,Bexar,218EDRDA,D & W Joint Venture  Well #1,W,,1200,,,,,1044,No,No,,Unused,TCEQ Source ID: G0150336A. Unused PS well.
6826816,29.5085778,-98.8000278,Bexar,218EDRDA,SAWS-San Geronimo  Airpark,W,12/10/1984,900,10,10,0,50,1040,No,No,,Plugged or Destroyed,Plugging Report Tracking Number: 60978. TCEQ Source ID: G0150525A. Previous Well Number: 6826813. SWN 6826813 was a duplicate of this well.
6826816,29.5085778,-98.8000278,Bexar,218EDRDA,SAWS-San Geronimo  Airpark,W,12/10/1984,900,10,7,0,790,1040,No,No,,Plugged or Destroyed,Plugging Report Tracking Number: 60978. TCEQ Source ID: G0150525A. Previous Well Number: 6826813. SWN 6826813 was a duplicate of this well.
6826816,29.5085778,-98.8000278,Bexar,218EDRDA,SAWS-San Geronimo  Airpark,W,12/10/1984,900,101,6,790,900,1040,No,No,,Plugged or Destroyed,Plugging Report Tracking Number: 60978. TCEQ Source ID: G0150525A. Previous Well Number: 6826813. SWN 6826813 was a duplicate of this well.
6826817,29.5236111,-98.7927778,Bexar,218EDRDA,SAWS Culebra #3,W,8/5/2009,1400,10,24,0,965,1039,Yes,No,,Public Supply,Well Report Tracking Number: 205534. Owners Culebra #3 well. Measured yield 2100 GPM with 213.7 feet drawdown after pumping 24 hours in 2009. Specific capacity 9.83 GPM/ft. Pumping level 485.7 feet. Cemented from 0 to 965 feet. Test hole drilled to 1480 feet.
6826817,29.5236111,-98.7927778,Bexar,218EDRDA,SAWS Culebra #3,W,8/5/2009,1400,101,20,965,1400,1039,Yes,No,,Public Supply,Well Report Tracking Number: 205534. Owners Culebra #3 well. Measured yield 2100 GPM with 213.7 feet drawdown after pumping 24 hours in 2009. Specific capacity 9.83 GPM/ft. Pumping level 485.7 feet. Cemented from 0 to 965 feet. Test hole drilled to 1480 feet.
6826901,29.523889,-98.753889,Bexar,218EBFZA,O. E. Stalte,W,,720,,,,,956,Yes,No,Piston,Domestic,Well D-4 in Texas Board of Water Engineers Bulletin 5608. Historical observation well.
6826902,29.5175,-98.752501,Bexar,218EDRDA,Leon Dacbert,W,3/0/1955,1040,,,,,960,No,No,Turbine,Unused,Unused irrigation well.  Pump set at 400 ft.  Reported yield 500 gpm Temp. 72 degrees F.
6826903,29.521111,-98.756389,Bexar,218EDRDA,Larry Perkins ,W,,400,,,,,965,Yes,Yes,,,Well 68269fe5 in EUWD Report 95-03.
6826904,29.5069444,-98.7733333,Bexar,218EBFZA,SAWS Chaparral Well #096WP1,W,6/14/1984,900,10,7,0,845,995,Yes,Yes,Submersible,Plugged or Destroyed,"Plugging Report Tracking Number: 192313. Owner Well Number: 096WP1, 7510 Tally Road. TCEQ Source ID: G0150053D. "
6826904,29.5069444,-98.7733333,Bexar,218EBFZA,SAWS Chaparral Well #096WP1,W,6/14/1984,900,101,6,845,900,995,Yes,Yes,Submersible,Plugged or Destroyed,"Plugging Report Tracking Number: 192313. Owner Well Number: 096WP1, 7510 Tally Road. TCEQ Source ID: G0150053D. "
6826905,29.5397222,-98.7644444,Bexar,218EBFZA,SAWS Chaparral,W,11/23/1998,870,10,13,0,472,1028,Yes,Yes,Submersible,Public Supply,"Owner Well Number: 1 - CANYON PARK ESTATES. TCEQ Source ID: G0150053C. Owners 097WP31 well (13678 Ramuda Ranch Dr). Measured yield 1966 GPM with 35 feet drawdown after pumping 24 hours in 1999. Specific capacity 56.17 GPM/ft. Pumping level 254 feet. Cemented from 0 to 400 feet. Nov.2011. Alsay Co. altered well: installed new 12.75 casing to 472' with cement in annular space betw. 16"" and 12.75""; open hole to 870'."
6826905,29.5397222,-98.7644444,Bexar,218EBFZA,SAWS Chaparral,W,11/23/1998,870,101,16,472,870,1028,Yes,Yes,Submersible,Public Supply,"Owner Well Number: 1 - CANYON PARK ESTATES. TCEQ Source ID: G0150053C. Owners 097WP31 well (13678 Ramuda Ranch Dr). Measured yield 1966 GPM with 35 feet drawdown after pumping 24 hours in 1999. Specific capacity 56.17 GPM/ft. Pumping level 254 feet. Cemented from 0 to 400 feet. Nov.2011. Alsay Co. altered well: installed new 12.75 casing to 472' with cement in annular space betw. 16"" and 12.75""; open hole to 870'."
6826906,29.5241528,-98.7921417,Bexar,218EBFZA,San Antonio Water Sys. Culebra #2,W,6/2/2004,1350,10,42,0,35,1040,No,Yes,,Unused,Well Report Tracking Number: 38525. TCEQ Source ID: G0150018DX. Owners Culebra #2 well. Cemented from 0 to 916 feet. Capped PS well.
6826906,29.5241528,-98.7921417,Bexar,218EBFZA,San Antonio Water Sys. Culebra #2,W,6/2/2004,1350,10,30,0,916,1040,No,Yes,,Unused,Well Report Tracking Number: 38525. TCEQ Source ID: G0150018DX. Owners Culebra #2 well. Cemented from 0 to 916 feet. Capped PS well.
6826906,29.5241528,-98.7921417,Bexar,218EBFZA,San Antonio Water Sys. Culebra #2,W,6/2/2004,1350,101,,916,1350,1040,No,Yes,,Unused,Well Report Tracking Number: 38525. TCEQ Source ID: G0150018DX. Owners Culebra #2 well. Cemented from 0 to 916 feet. Capped PS well.
6827302,29.5817861,-98.6336278,Bexar,218EBFZA,Fritz Brooks,W,8/12/1967,365,10,6,0,100,980,No,Yes,Submersible,Domestic,
6827302,29.5817861,-98.6336278,Bexar,218EBFZA,Fritz Brooks,W,8/12/1967,365,101,,100,365,980,No,Yes,Submersible,Domestic,
6827303,29.5883889,-98.6260167,Bexar,218EBFZA,Kuper Properties USGS WQ Monitor Well,O,1/10/1976,354,10,6,0,230,1004,Yes,Yes,Submersible,Unused,GCD Well Number: Chase Hill Sentinel. 
6827303,29.5883889,-98.6260167,Bexar,218EBFZA,Kuper Properties USGS WQ Monitor Well,O,1/10/1976,354,101,,230,354,1004,Yes,Yes,Submersible,Unused,GCD Well Number: Chase Hill Sentinel. 
6827305,29.588889,-98.625555,Bexar,218EBFZA,Kuper Properties USGS WQ Monitor Well,O,7/2/1976,253,10,6,0,203,1000,Yes,Yes,,Unused,
6827305,29.588889,-98.625555,Bexar,218EBFZA,Kuper Properties USGS WQ Monitor Well,O,7/2/1976,253,101,,203,253,1000,Yes,Yes,,Unused,
6827307,29.5858333,-98.6311111,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #13,O,4/9/1998,270,10,4,0,190,994,Yes,Yes,None,Unused,USGS Site Number: 293508098375101. LUSUR #13. Babcock Rd @ 1604. Cemented to 110 feet.
6827307,29.5858333,-98.6311111,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #13,O,4/9/1998,270,10,7,0,35,994,Yes,Yes,None,Unused,USGS Site Number: 293508098375101. LUSUR #13. Babcock Rd @ 1604. Cemented to 110 feet.
6827307,29.5858333,-98.6311111,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #13,O,4/9/1998,270,11,4,190,270,994,Yes,Yes,None,Unused,USGS Site Number: 293508098375101. LUSUR #13. Babcock Rd @ 1604. Cemented to 110 feet.
6827401,29.552778,-98.744445,Bexar,218EBFZA,San Antonio Ranch ,W,0/0/1920,424,10,7,0,176,1087,No,Yes,Piston,Stock,
6827401,29.552778,-98.744445,Bexar,218EBFZA,San Antonio Ranch ,W,0/0/1920,424,101,,176,424,1087,No,Yes,Piston,Stock,
6827405,29.561667,-98.708889,Bexar,218EDRDA,Clayton Nolte ,W,,,,,,,1044,Yes,Yes,,Domestic,Well 68274ff9 in EUWD Report 95-03.
6827406,29.557501,-98.714445,Bexar,218EDRDA,Wooten,W,,,,,,,1058,Yes,Yes,,Domestic,Well 68274fh5 in EUWD Report 95-03.
6827407,29.558612,-98.711667,Bexar,218EDRDA,Page,W,0/0/1992,420,,,,,1088,Yes,Yes,,Domestic,Well 68274fi4 in EUWD Report 95-03.
6827503,29.5662556,-98.6816556,Bexar,218EBFZA,Bexar County WC & ID #17Well 2,W,6/17/1966,375,10,10.75,0,280,997,Yes,Yes,Turbine,Public Supply,GCD Well Number: Helotes Yard. Well plugged back to 375 ft
6827503,29.5662556,-98.6816556,Bexar,218EBFZA,Bexar County WC & ID #17Well 2,W,6/17/1966,375,101,10.75,280,375,997,Yes,Yes,Turbine,Public Supply,GCD Well Number: Helotes Yard. Well plugged back to 375 ft
6827504,29.562778,-98.683055,Bexar,218EBFZA,"Bexar County WC & ID #17,Well 1",W,5/0/1962,508,10,12,0,355,992,Yes,Yes,Turbine,Public Supply,Reported yield 340 GPM with 21 feet drawdown after 47 hours in 1971. Specific capacity 16 GPM/ft. Aquifer test data and results in TWDB files.
6827504,29.562778,-98.683055,Bexar,218EBFZA,"Bexar County WC & ID #17,Well 1",W,5/0/1962,508,101,,355,508,992,Yes,Yes,Turbine,Public Supply,Reported yield 340 GPM with 21 feet drawdown after 47 hours in 1971. Specific capacity 16 GPM/ft. Aquifer test data and results in TWDB files.
6827505,29.560278,-98.68,Bexar,218EBFZA,Max Toepperwein ,W,0/0/1956,400,10,6,0,30,979,Yes,No,None,Unused,"Observation well.  Recorder observation well from Feb. 17, 1958 to Dec. 17, 1968."
6827505,29.560278,-98.68,Bexar,218EBFZA,Max Toepperwein ,W,0/0/1956,400,101,,30,400,979,Yes,No,None,Unused,"Observation well.  Recorder observation well from Feb. 17, 1958 to Dec. 17, 1968."
6827506,29.562778,-98.678889,Bexar,218EBFZA,C W Spengler,W,0/0/1961,400,10,7,0,50,980,No,Yes,Submersible,Domestic,
6827506,29.562778,-98.678889,Bexar,218EBFZA,C W Spengler,W,0/0/1961,400,101,,50,400,980,No,Yes,Submersible,Domestic,
6827507,29.5630556,-98.69,Bexar,218EBFZA,Henry Brauchle,W,0/0/1940,385,10,6,0,47,1000,Yes,Yes,Submersible,Plugged or Destroyed,Plugging Report Tracking Number: 167716. 
6827507,29.5630556,-98.69,Bexar,218EBFZA,Henry Brauchle,W,0/0/1940,385,101,,47,385,1000,Yes,Yes,Submersible,Plugged or Destroyed,Plugging Report Tracking Number: 167716. 
6827508,29.569722,-98.675833,Bexar,218EBFZA,Paul Zoeller,W,0/0/1959,320,,,,,1000,No,Yes,Submersible,Domestic,
6827509,29.560278,-98.683055,Bexar,218EBFZA,Toepperwein ,W,0/0/1952,343,,,,,982,No,Yes,Submersible,Commercial,
6827510,29.564723,-98.688611,Bexar,218EBFZA,J D Smith ,W,0/0/1950,390,,,,,1005,Yes,Yes,Submersible,Domestic,Well 68275ee1 in EUWD Report 95-03.
6827511,29.558612,-98.669722,Bexar,218EBFZA,J W Saner ,W,0/0/1930,365,,,,,963,No,Yes,Piston,Domestic,
6827512,29.5625556,-98.6833889,Bexar,218EBFZA,TWDB,O,12/4/1971,502,10,7,0,18,1000,Yes,No,None,Unused,Observation well for test of 68-27- 504 in 1971. Aquifer test data in TWDB files. Observation well.
6827512,29.5625556,-98.6833889,Bexar,218EBFZA,TWDB,O,12/4/1971,502,101,,18,495,1000,Yes,No,None,Unused,Observation well for test of 68-27- 504 in 1971. Aquifer test data in TWDB files. Observation well.
6827514,29.562223,-98.680555,Bexar,218EBFZA,Paul J. Zoeller ,W,,344,,,,,986,Yes,No,Piston,Unused,Well D-13 in Texas Board of Water Engineers Bulletin 5608.  Unused livestock well.  Historical observation well.
6827515,29.557778,-98.675,Bexar,218EBFZA,Rudolph Beiring ,W,,360,,,,,968,Yes,Yes,Submersible,Domestic,USGS Site Number: 293325098410001. Well D-22 in Texas Board of Water Engineers Bulletin 5608. Historical observation well.
6827517,29.5663889,-98.6822222,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #1,O,2/4/1998,302,10,7,0,38,997,Yes,Yes,None,Unused,USGS Site Number: 293359098405401. LUSUR #1. Helotes well. Cemented to 74 feet.
6827517,29.5663889,-98.6822222,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #1,O,2/4/1998,302,10,4,0,217,997,Yes,Yes,None,Unused,USGS Site Number: 293359098405401. LUSUR #1. Helotes well. Cemented to 74 feet.
6827517,29.5663889,-98.6822222,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #1,O,2/4/1998,302,11,4,217,299,997,Yes,Yes,None,Unused,USGS Site Number: 293359098405401. LUSUR #1. Helotes well. Cemented to 74 feet.
6827518,29.555834,-98.693889,Bexar,218EBFZA,Zumwalt ,W,,464,,,,,995,Yes,No,,,
6827519,29.575555,-98.675278,Bexar,218EBFZA,Zoeller ,W,,476,,,,,1085,Yes,No,,,
6827520,29.564723,-98.701667,Bexar,218EBFZA,Parrigin-Smith,W,,497,,,,,1080,Yes,No,,,
6827522,29.578055,-98.69,Bexar,218EBFZA,Floores Country Store ,W,,300,,,,,1037,No,No,Submersible,Public Supply,TCEQ Source ID: G0150347A. TCEQ ID #0150347A.
6827523,29.543334,-98.705834,Bexar,218EBFZA,Latin American Bible Institute,W,4/8/1970,436,,,,,996,No,No,,Unused,Owner Well Number: 1. TCEQ Source ID: G0150379A. Unused PS well.
6827524,29.576944,-98.690556,Bexar,218EBFZA,New Helotes Inn  Restaurant,W,,380,,,,,1043,No,No,,Unused,TCEQ Source ID: G0150396A. Unused PS well.
6827525,29.577222,-98.689722,Bexar,218EBFZA,Old Town Grill and Bistro (Well #1),W,,330,,,,,1041,No,No,Submersible,Public Supply,Owner Well Number: 1. TCEQ Source ID: G0150404A. 
6827526,29.577222,-98.69,Bexar,218EBFZA,Old Town Grill and Bistro (Well #2),W,,352,,,,,1041,No,No,None,Unused,Owner Well Number: 2. TCEQ Source ID: G0150404B. Capped PS well.
6827527,29.558612,-98.671389,Bexar,218EBFZA,Little Village School,W,,400,,,,,961,No,No,,Unused,TCEQ Source ID: G0150465A. Formerly used for PS well.
6827528,29.5652778,-98.6894444,Bexar,218EBFZA,Bobby J's Old Fashion  Hamburgers,W,,450,,,,,1008,No,No,Submersible,Plugged or Destroyed,Plugging Report Tracking Number: 53503. TCEQ Source ID: G0150506A. Well was used for PS. TCEQ lists this well as Inactive Deleted PWS.
6827529,29.555001,-98.681944,Bexar,218EBFZA,Helotes Festival Association,W,5/2/1990,500,,,,,1006,No,No,Submersible,Unused,TCEQ Source ID: G0150508A. Unused PS well. Reported yield 100 GPM in 1990.
6827534,29.5751,-98.6967111,Bexar,,Ronald Green,W,12/23/2008,920,,,,,1130,Yes,No,Submersible,Domestic,
6827601,29.5775,-98.633055,Bexar,218EDRDA,Valley view Addition,W,9/11/1955,527,,,,,960,No,No,,Unused,
6827602,29.544445,-98.656945,Bexar,218EBFZA,Robert Biering,W,,389,,,,,950,No,Yes,Submersible,Domestic,
6827603,29.554723,-98.654723,Bexar,218EBFZA,O R Legg,W,0/0/1962,360,,,,,922,No,Yes,Submersible,Domestic,
6827604,29.556945,-98.654445,Bexar,218EBFZA,J L Benke ,W,10/13/1967,363,10,7,0,175,920,No,Yes,Submersible,Domestic,
6827604,29.556945,-98.654445,Bexar,218EBFZA,J L Benke ,W,10/13/1967,363,101,,175,363,920,No,Yes,Submersible,Domestic,
6827605,29.555556,-98.655001,Bexar,218EBFZA,J F Dubose,W,8/0/1962,305,10,7,0,30,920,No,Yes,Submersible,Domestic,
6827605,29.555556,-98.655001,Bexar,218EBFZA,J F Dubose,W,8/0/1962,305,101,,30,305,920,No,Yes,Submersible,Domestic,
6827606,29.548889,-98.626389,Bexar,218EBFZA,San Antonio Water Sys. (was Ray Ellison Ent) ,W,3/1/1972,603,101,,200,603,901,Yes,Yes,None,Unused,Cemented from 200 ft. to surface. Edwards from 32 to 523 ft. Unused public supply well. Tested at 900 gpm with drawdown of 143 ft.
6827607,29.543611,-98.650278,Bexar,218EBFZA,L. K. Stemen,W,,285,,,,,906,Yes,No,Submersible,Domestic,Well E-41 in Texas Board of Water Engineers Bulletin 5608. Historical observation well.
6827608,29.543889,-98.644445,Bexar,218EBFZA,L. K. Stemen,W,0/0/1953,340,,,,,950,Yes,No,Submersible,Domestic,Well E-171 in Texas Board of Water Engineers.  Bulletin 5608. Historical observation well.
6827609,29.5680556,-98.6616667,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #27,O,6/30/1998,261,10,7,0,35,960,Yes,Yes,None,Unused,USGS Site Number: 293405098394201. LUSUR #27. Preferred Pump (Western Oaks). Coordinates and Coord Source updated 5/5/2023 from info on USGS website.
6827609,29.5680556,-98.6616667,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #27,O,6/30/1998,261,10,4,0,191,960,Yes,Yes,None,Unused,USGS Site Number: 293405098394201. LUSUR #27. Preferred Pump (Western Oaks). Coordinates and Coord Source updated 5/5/2023 from info on USGS website.
6827609,29.5680556,-98.6616667,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #27,O,6/30/1998,261,11,4,191,261,960,Yes,Yes,None,Unused,USGS Site Number: 293405098394201. LUSUR #27. Preferred Pump (Western Oaks). Coordinates and Coord Source updated 5/5/2023 from info on USGS website.
6827610,29.5477778,-98.6355556,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #28,O,7/3/1998,240,10,7,0,35,896,Yes,Yes,None,Unused,USGS Site Number: 293252098380801. LUSUR #28. 7602 Autumn Park. Cemented to 35 feet.
6827610,29.5477778,-98.6355556,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #28,O,7/3/1998,240,10,4,0,149,896,Yes,Yes,None,Unused,USGS Site Number: 293252098380801. LUSUR #28. 7602 Autumn Park. Cemented to 35 feet.
6827610,29.5477778,-98.6355556,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #28,O,7/3/1998,240,11,4,149,229,896,Yes,Yes,None,Unused,USGS Site Number: 293252098380801. LUSUR #28. 7602 Autumn Park. Cemented to 35 feet.
6827611,29.575,-98.6275,Bexar,218EBFZA,Edwards Aquifer Auth LUSUR #29,O,7/5/1998,260,10,7,0,33,960,Yes,Yes,None,Unused,USGS Site Number: 293429098373801. LUSUR #29. 14417 Roadrunner Way. Cemented to 33 feet.
6827611,29.575,-98.6275,Bexar,218EBFZA,Edwards Aquifer Auth LUSUR #29,O,7/5/1998,260,10,4,0,190,960,Yes,Yes,None,Unused,USGS Site Number: 293429098373801. LUSUR #29. 14417 Roadrunner Way. Cemented to 33 feet.
6827611,29.575,-98.6275,Bexar,218EBFZA,Edwards Aquifer Auth LUSUR #29,O,7/5/1998,260,11,4,190,210,960,Yes,Yes,None,Unused,USGS Site Number: 293429098373801. LUSUR #29. 14417 Roadrunner Way. Cemented to 33 feet.
6827611,29.575,-98.6275,Bexar,218EBFZA,Edwards Aquifer Auth LUSUR #29,O,7/5/1998,260,101,,210,260,960,Yes,Yes,None,Unused,USGS Site Number: 293429098373801. LUSUR #29. 14417 Roadrunner Way. Cemented to 33 feet.
6827612,29.5677778,-98.6391667,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #18,O,5/12/1998,257,10,7,0,38,960,Yes,Yes,None,Unused,USGS Site Number: 293404098382001. LUSUR #18. Bluestone. Cemented to 38 feet.
6827612,29.5677778,-98.6391667,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #18,O,5/12/1998,257,10,4,0,187,960,Yes,Yes,None,Unused,USGS Site Number: 293404098382001. LUSUR #18. Bluestone. Cemented to 38 feet.
6827612,29.5677778,-98.6391667,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #18,O,5/12/1998,257,11,4,187,257,960,Yes,Yes,None,Unused,USGS Site Number: 293404098382001. LUSUR #18. Bluestone. Cemented to 38 feet.
6827613,29.549722,-98.654167,Bexar,218EBFZA,Evetts Apartments  #1-Center of Complex,W,3/1/1972,375,,,,,926,No,No,Submersible,Public Supply,Owner Well Number: 1. TCEQ Source ID: G0150238A. 
6827701,29.512501,-98.735834,Bexar,218EBFZA,W. E. Kossaeth,W,,570,,,,,936,Yes,Yes,Piston,Domestic,Well D-5 in Texas Board of Water Engineers Bulletin 5608.  Top of Edwards 490 ft.  Historical observation well.
6827702,29.503889,-98.726944,Bexar,218EBFZA,C. E. Hoffman ,W,0/0/1941,466,,,,,914,Yes,No,Piston,Unused,Well D-6 in Texas Board of Water Engineers Bulletin 5608.  Unused livestock well.  Historical observation well.
6827704,29.529444,-98.729167,Bexar,218EBFZA,Willie Moos ,W,,700,,,,,940,Yes,Yes,Piston,Domestic,Temp 73 degrees F.
6827705,29.5397222,-98.7241667,Bexar,218EBFZA,Forest Glen Water Co.  Well #1,W,8/21/2006,740,,,,,1022,No,No,Submersible,Plugged or Destroyed,Plugging Report Tracking Number: 66917. Owner Well Number: 1. TCEQ Source ID: G0150551A. 
6827801,29.5244917,-98.6925722,Bexar,218EDRDA,Clarence Tausch,W,1/13/1968,518,,,,,920,Yes,No,Submersible,Domestic,Cemented from 382 ft. to surface. Top of Edwards 388 ft. Reported yield 700 gpm.
6827802,29.5227778,-98.7008333,Bexar,218EDRDA,Clarence Tausch,W,1/22/1969,660,,,,,927,Yes,No,Turbine,Plugged or Destroyed,"Plugging Report Tracking Number: 153292. Open hole from 458 to 660 ft.  Top of Edwards 458 ft.  Development test yield 2,130 gpm."
6827803,29.52,-98.698056,Bexar,218EDRDA,Carlos Munoz,W,3/16/1970,420,,,,,918,No,No,Submersible,Irrigation,
6827804,29.506667,-98.685278,Bexar,218EDRDA,P. M. Kindrick,W,0/0/1954,525,,,,,895,Yes,No,Turbine,Unused,"Open hole from 270 to 525 ft.  Top of Edwards 268 ft.  Unused irrigation well.  Reported yield 1,000 gpm.  Development test: Drawdown of 31 ft. pumping 1,025 gpm for 8.50 hours on Dec. 7, 1954."
